fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	drop_rate	max_drop	skip_drop	extra_trees	num_threads	seed	scale_pos_weight	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240506 162443	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1880	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	97.6334392271477	0.0101036286016031	0.669484723044256	1151	1179	12076	62465913.0434783	32
20240506 162703	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	643	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	1.04969340463377	0.0785845741392441	0.772643628389593	1712	1610	11018	58057124.4377811	33
20240506 163236	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1014	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	42.0921753116356	0.0100328318010262	0.811861096562911	1767	685	12224	62211178.4107946	34
20240506 163840	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1892	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	81.1429250682032	0.0102555509516075	0.747679871618669	1372	1291	12460	62719610.1949025	35
20240506 164231	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	192	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	98.6206251276986	0.137940774290235	0.722885990037457	1095	1442	12282	60783445.2773613	36
20240506 164859	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1391	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	35.5460606955109	0.010031797632119	0.713850175718743	1035	713	13752	61629997.0014993	37
20240506 165432	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1823	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	85.7452903261435	0.010109871142338	0.687862315951279	1159	1391	11868	62212551.7241379	38
20240506 165952	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1575	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	59.3941128404748	0.0100628065239645	0.762767692771466	1687	1186	11726	62509196.4017991	39
20240506 170254	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	781	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	92.1684491065713	0.0349176624288787	0.751988610032923	1286	1223	12105	61909947.5262369	40
20240506 170942	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2057	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	83.6519196513044	0.0100040439380337	0.870863389809543	396	1132	12094	62518779.6101949	41
20240506 171621	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2496	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	94.453564636274	0.0103915316875325	0.689346985045704	148	1462	12662	62039487.2563718	42
20240506 172234	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1828	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	87.2059805478009	0.0100892938987209	0.699850401278867	645	1126	12735	61908823.0884558	43
20240506 172903	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2145	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	98.9862047831057	0.0100060418635045	0.898480773936044	506	1315	12005	62437833.5832084	44
20240506 173400	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1237	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	66.8497087308092	0.0100194657951741	0.815228904905364	1561	1093	12535	62366934.0329835	45
20240506 174237	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2358	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	58.7520266897073	0.0100138908031238	0.524750733230252	1679	1445	12278	62237844.077961	46
20240506 174307	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	52	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	95.9316181357528	0.0832828184093459	0.89917599588181	8	1426	14231	54861182.9085457	47
20240506 174538	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	539	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	98.9976083833743	0.108371660374434	0.500078236422649	1424	1945	12071	60089308.8455772	48
20240506 174822	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	294	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	29.7163807418395	0.0398545024346293	0.605055340955101	1663	582	12669	62227062.9685157	49
20240506 175124	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	42	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	33.1848713931215	0.11484623589703	0.680340222228184	1668	104	13507	52933572.7136432	50
20240506 175308	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	226	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	50.7548943560773	0.128172086148274	0.510636449145402	1050	1982	12973	59442439.2803598	51
20240506 175528	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	372	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	42.5408781894538	0.0682442493739234	0.519235621295532	1026	1497	12883	61027521.7391304	52
20240506 175832	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	498	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	12.9236521119596	0.0349795913021781	0.849383269094078	1643	747	10768	61762926.5367316	53
20240506 180028	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	504	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	74.8729805354138	0.144459314727087	0.745031565983651	2046	1794	10532	59004119.94003	54
20240506 180256	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	530	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	40.9509393731356	0.0399932388610276	0.638450981978775	1616	1167	11938	61709238.3808096	55
20240506 180808	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1788	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	51.0451407812548	0.0157333717045632	0.899967316384381	215	1484	12241	62036640.17991	56
20240506 181430	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	535	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	63.3418433018522	0.0375663681316809	0.752526683392894	1714	229	12388	61172851.5742129	57
20240506 182101	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1426	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	83.8894632130787	0.019053132209556	0.510102568686944	1617	802	12088	61698338.8305847	58
20240506 182315	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	166	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	1.22815256218999	0.0495059259578633	0.590927377851386	1002	601	12682	60412050.9745127	59
20240506 182740	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1261	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	59.2691937028702	0.0154378610025786	0.890747483957302	1242	1278	12299	62784739.1304348	60
20240506 183459	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1843	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	77.9793856723863	0.0147826015386293	0.890137860330361	975	1374	11722	62327493.2533733	61
20240506 183928	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1207	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	53.8893031460511	0.0168811420385477	0.778955179666238	1414	1167	12343	61920805.0974513	62
20240506 184758	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3769	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	70.9270581590642	0.01004525109307	0.855893107663201	678	1994	12522	61575229.3853073	63
20240506 185027	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	399	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	98.9146067865726	0.0469436065939149	0.54816045851342	1634	1496	11032	61550716.6416792	64
20240506 185641	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1496	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	97.8341341060148	0.0103935538358728	0.89815348470042	1155	867	12722	62356698.6506747	65
20240506 190449	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1902	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	61.158568036273	0.0101160160790185	0.89249385076442	366	686	11384	62290878.5607196	66
20240506 190631	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	310	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	98.6511521046857	0.0720646512203283	0.653773692910863	2042	1485	13868	61003616.191904	67
20240506 191232	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1782	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	72.8342211793189	0.0100374867362948	0.899598669515245	806	1173	11888	62577799.1004498	68
20240506 191424	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	442	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	86.6302987965343	0.119788405789524	0.895696145207799	1350	1626	10607	58961128.9355322	69
20240506 192017	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1190	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	27.5706380673052	0.0130762029157199	0.709069723071536	2031	665	10127	61577200.8995502	70
