fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	num_threads	seed	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240507 184450	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3320	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.263211155967616	0.739751161243483	0.392368970708865	0.010038813518782	0.661608090280139	787	1972	10874	60716770.6146927	46
20240507 185042	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2231	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.196587830853139	0.867101748567875	0.320819636054011	0.0100537768461714	0.690894348966413	714	1999	10562	61543565.2173913	47
20240507 190037	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3341	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.169491075569237	0.898783472442924	0.298801021244932	0.0114550653554683	0.690347745311375	707	2000	11039	60874904.047976	48
20240507 190957	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4026	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.228139641696634	0.852715359827407	0.31094326012157	0.0107334354616371	0.685194200814233	707	1999	11250	60651679.1604198	49
20240507 191429	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1672	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.139886475585704	0.71596109130828	0.320874177742782	0.0140485858940405	0.687712293717396	868	2000	10813	61650955.0224888	50
20240507 192112	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2050	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.108136148033309	0.714507210041899	0.321196845331925	0.0135936850039855	0.681149563661121	925	1999	12014	61541628.185907	51
20240507 192524	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1557	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.109192796594164	0.695011189364149	0.326002773738846	0.0178628522659042	0.67890818662958	913	2000	11660	61609025.4872564	52
20240507 193151	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2632	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.104926069898105	0.686046179844342	0.299775711885981	0.0163301559112998	0.676135986931913	978	2000	12222	59723625.1874063	53
20240507 193903	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2679	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.240807842325122	0.734217251007647	0.365119532448355	0.01061004552545	0.692258444113208	787	1969	11086	61231835.0824588	54
20240507 194634	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2969	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.245803008489487	0.737668341004986	0.377199165250776	0.0111485419756197	0.689134738304083	746	1971	10526	60758851.5742129	55
