fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	num_threads	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240509 212026	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1071	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100203817240333	0.701776986439704	527	1102	11512	61179142.4287856	33
20240509 213407	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1213	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100305195238893	0.702720071726164	524	1124	10637	61950049.4752624	34
20240509 214823	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1225	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100242685061283	0.707439148616056	503	1062	11535	61841236.8815592	35
20240509 220041	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	964	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100175577930086	0.7088310969364	492	1075	11819	62071995.5022489	36
20240509 221435	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1119	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.010023796751831	0.71304598533749	422	1015	10189	61816628.185907	37
20240509 224257	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2984	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100126601943602	0.712473458467611	387	986	12015	59529812.5937032	38
20240509 225532	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1041	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100473045992732	0.701618400472974	622	1181	11531	62356445.2773613	39
20240509 232750	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3556	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0101335120107603	0.704279719464581	702	1162	11894	59521598.2008995	40
20240509 234356	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1615	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100243705857509	0.699871305966548	483	1186	11199	61766778.1109445	41
20240509 235840	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1427	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100364924317886	0.700814391253008	481	1205	10829	61372550.2248876	42
20240510 002545	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3364	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100526094619827	0.70374465226903	518	1268	11020	60226776.6116941	43
20240510 003848	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1115	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100463782486351	0.701668865785072	483	1132	11928	61728143.928036	44
20240510 010422	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2635	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0101387951081814	0.701828936512778	480	1129	12450	59943373.3133433	45
20240510 013127	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7682	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100769376990158	0.571561283874148	8	1152	11294	58601898.0509745	46
20240510 014841	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1624	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100108778955474	0.704805890146038	624	1149	12423	61374118.4407796	47
20240510 030557	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3085	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100458809710818	0.70609489857851	610	1112	13062	59720746.6266867	48
20240510 033012	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3067	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100304785015037	0.699437173820632	534	1282	11247	60522328.3358321	49
20240510 034322	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1228	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.01001752694288	0.699693721452895	523	1191	10723	62196997.0014993	50
20240510 035910	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1615	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100243705857509	0.699871305966548	483	1186	11199	61766778.1109445	51
20240510 041449	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1615	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100243705857509	0.699871305966548	483	1186	11199	61766778.1109445	52
20240510 044009	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3133	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100758778591243	0.699690717556932	456	1231	12254	60141328.3358321	53
20240510 051204	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3968	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100164209497861	0.699927715208682	508	1160	13781	59692202.3988006	54
20240510 052421	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1086	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100098832922913	0.701644623755083	552	1169	10801	61382367.3163418	55
20240510 053952	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1561	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100334204640464	0.704138816032157	553	1155	11633	61146877.0614693	56
20240510 055243	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1144	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100564775546247	0.70350682633444	542	1143	11920	61865847.0764618	57
20240510 060559	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1204	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100488003920479	0.705763127192051	564	1137	10779	61778082.4587706	58
20240510 063516	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3475	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100332662964175	0.710968936240245	564	1112	13534	59630563.7181409	59
20240510 070120	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3272	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100496785631855	0.695089059232146	496	1235	14212	59372155.922039	60
20240510 071354	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1047	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100227747482913	0.703175524166694	527	1082	11011	61445800.5997002	61
20240510 072849	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1353	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.010022157053631	0.707748134390505	544	1058	11529	61443464.7676162	62
20240510 075548	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3002	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100953920567093	0.70550329469484	532	1038	14677	59718145.4272864	63
20240510 081304	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1850	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100870733153257	0.703242404205654	536	1176	12611	60815335.832084	64
20240510 082517	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1054	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100004904474802	0.704032454749558	576	1149	11707	61831863.5682159	65
20240510 083829	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1208	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0100367438801452	0.703201778559761	559	1152	10748	61917979.0104948	66
